symbol,name,current_price,avg_volume_30d,price_52w_high,price_52w_low,ytd_return,volatility_annualized,sma_20,sma_50,market_cap_category,data_collected_at,bars_count
AMD,"Advanced Micro Devices, Inc.",112.91,40513876.9,187.27999877929688,76.4800033569336,-31.627707351689025,0.37478010308887283,108.58399963378906,101.5549998474121,Medium Price,2025-05-29T18:16:54.122953,251
QCOM,QUALCOMM Incorporated,147.88,8614999.033333333,227.02616553144193,120.80000305175781,-27.56979639948468,0.4360540269058726,147.30900039672852,146.24040084838867,Medium Price,2025-05-29T18:16:54.475067,251
AVGO,Broadcom Inc.,241.775,19790865.6,250.44908232333512,127.35113428711503,75.96954670689256,0.3311121736968815,221.9029983520508,194.90419921875,Medium Price,2025-05-29T18:16:55.116117,251
INTC,Intel Corporation,20.197,72972089.73333333,36.925755839253235,17.670000076293945,-32.54859140663123,0.356116479309303,20.90324993133545,21.12389991760254,Low Price,2025-05-29T18:16:55.269894,251
MRVL,"Marvell Technology, Inc.",63.7575,17508891.6,127.33533309113182,47.03656077049741,-15.586717065874767,0.5540464822664798,62.18537502288818,60.14117721557617,Low Price,2025-05-29T18:16:55.591619,251
LRCX,Lam Research Corporation,84.07,10697449.833333334,111.9745134294298,56.31999969482422,-10.831947233390371,0.41107960152446715,80.3430004119873,74.0550001525879,Low Price,2025-05-29T18:16:56.158097,251
KLAC,KLA Corporation,775.68,1112868.3666666667,888.0589538254965,550.0059693767323,1.3641003455653777,0.45159549532606597,750.3307678222657,702.303349609375,High Price,2025-05-29T18:16:56.508283,251
AMAT,"Applied Materials, Inc.",159.56,7045345.033333333,253.49495969988817,123.38913539739539,-26.460751083392744,0.42902425998665883,161.13220596313477,151.0969090270996,Medium Price,2025-05-29T18:16:57.087636,251
TSM,Taiwan Semiconductor Manufactur,197.18,14167472.2,225.52130621451485,132.14270579095924,29.544229926184464,0.35104069341593663,187.45049819946288,172.14459899902343,Medium Price,2025-05-29T18:16:57.549353,251
ASML,ASML Holding N.V. - New York Re,749.695,1358813.4666666666,1102.5659943768837,576.8708473389951,-21.199847031638164,0.32603437393643936,729.2872497558594,692.0318627929687,High Price,2025-05-29T18:16:57.647169,251
MU,"Micron Technology, Inc.",96.95,18632698.3,156.8171092098565,61.540000915527344,-25.971307807078546,0.3925208266942124,91.06749992370605,84.3457666015625,Low Price,2025-05-29T18:16:57.935306,251
MCHP,Microchip Technology Incorporat,57.805,10447699.733333332,95.4342963930855,33.86790419123942,-37.81955466636663,0.6454573016468631,55.4913251876831,48.8425227355957,Low Price,2025-05-29T18:16:58.240361,251
