symbol,name,current_price,avg_volume_30d,price_52w_high,price_52w_low,ytd_return,volatility_annualized,sma_20,sma_50,market_cap_category,data_collected_at,bars_count
AAPL,Apple Inc.,200.63,52982780,259.47,168.99,-17.53,32.74,203.92,203.86,Large Cap,2025-06-06 00:31:45,1364
ADI,"Analog Devices, Inc.",218.04,4246543,244.91,157.93,4.09,36.94,217.48,199.72,Large Cap,2025-06-06 00:30:36,1364
AEP,"American Electric Power Company, Inc.",101.77,3160785,109.5,82.82,12.72,24.62,102.4,104.21,Large Cap,2025-06-06 00:31:13,1364
AGFY,Agrify Corporation,26.05,52764,84.44,2.71,-19.22,169.55,26.34,21.35,Small Cap,2025-06-06 00:30:57,1094
AI,"C3.ai, Inc.",25.34,6550707,45.08,17.03,-26.91,85.46,24.18,22.29,Mid Cap,2025-06-06 00:30:50,1127
AITX,Artificial Intelligence Technology Solutions Inc.,0.0,128029268,0.01,0.0,-48.0,233.77,0.0,0.0,Small Cap,2025-06-06 00:30:56,1364
AMAT,"Applied Materials, Inc.",164.19,7253533,253.49,123.39,0.71,47.08,162.95,151.79,Large Cap,2025-06-06 00:30:31,1364
AMD,"Advanced Micro Devices, Inc.",115.69,39639065,187.28,76.48,-4.1,53.22,112.69,102.13,Large Cap,2025-06-06 00:30:23,1364
AMT,American Tower Corporation,216.22,2691986,237.72,171.1,20.42,30.53,212.91,215.0,Large Cap,2025-06-06 00:31:38,1364
AMZN,"Amazon.com, Inc.",207.91,43045635,242.52,151.61,-5.59,36.27,204.53,192.44,Large Cap,2025-06-06 00:30:44,1364
ASML,ASML Holding N.V.,747.76,1220568,1099.73,576.72,7.32,43.67,744.17,693.74,Large Cap,2025-06-06 00:30:32,1364
AVGO,Broadcom Inc.,259.93,20851626,265.43,127.35,12.39,43.87,235.02,201.15,Large Cap,2025-06-06 00:30:27,1364
AWK,"American Water Works Company, Inc.",140.02,1377114,154.57,117.3,14.43,27.87,141.36,143.66,Large Cap,2025-06-06 00:31:24,1364
BBAI,"BigBear.ai Holdings, Inc.",3.77,88602540,10.36,1.16,-8.27,175.08,3.76,3.29,Small Cap,2025-06-06 00:30:54,1049
BE,Bloom Energy Corporation,20.45,5886388,29.83,9.02,-12.49,93.25,19.16,18.6,Mid Cap,2025-06-06 00:31:28,1364
BLDP,Ballard Power Systems Inc.,1.42,7730205,3.02,1.0,-22.83,72.29,1.36,1.25,Small Cap,2025-06-06 00:31:28,1364
CCI,Crown Castle Inc.,100.28,2928671,117.05,82.81,14.23,29.89,100.85,101.64,Large Cap,2025-06-06 00:31:39,1364
CLSK,"CleanSpark, Inc.",9.02,26244943,20.64,6.45,-4.55,128.23,9.39,8.48,Mid Cap,2025-06-06 00:31:34,1364
CNP,"CenterPoint Energy, Inc.",36.83,5476550,39.07,24.91,18.43,31.52,37.21,37.07,Large Cap,2025-06-06 00:31:26,1364
CRM,"Salesforce, Inc.",267.14,7179870,368.0,226.44,-19.08,39.68,278.11,267.92,Large Cap,2025-06-06 00:30:46,1364
CRWD,"CrowdStrike Holdings, Inc.",462.94,4045233,491.2,200.81,33.28,54.88,449.98,411.43,Large Cap,2025-06-06 00:31:54,1364
CSCO,"Cisco Systems, Inc.",64.62,19475988,66.06,43.57,10.82,27.3,62.98,59.79,Large Cap,2025-06-06 00:31:47,1364
D,"Dominion Energy, Inc.",56.0,5760818,59.83,45.78,5.43,28.27,55.39,54.05,Large Cap,2025-06-06 00:31:15,1364
DDOG,"Datadog, Inc.",121.75,4785787,170.08,81.63,-15.23,58.23,116.25,105.2,Large Cap,2025-06-06 00:31:53,1364
DELL,Dell Technologies Inc.,111.82,6343678,158.73,65.83,-3.04,45.95,110.06,96.63,Large Cap,2025-06-06 00:31:49,1364
DLR,"Digital Realty Trust, Inc.",175.91,1771696,195.06,129.95,0.22,32.38,169.76,158.28,Large Cap,2025-06-06 00:31:36,1364
DOCN,"DigitalOcean Holdings, Inc.",27.77,1578645,47.02,25.45,-18.94,67.65,29.55,29.99,Mid Cap,2025-06-06 00:31:59,1056
DUK,Duke Energy Corporation,115.74,3547553,124.14,95.6,9.32,24.36,116.01,117.89,Large Cap,2025-06-06 00:31:17,1364
ED,"Consolidated Edison, Inc.",102.27,2942298,113.9,85.24,16.89,24.72,103.55,107.01,Large Cap,2025-06-06 00:31:21,1364
EIX,Edison International,53.64,2983540,86.39,48.32,-31.2,29.77,56.35,56.38,Large Cap,2025-06-06 00:31:23,1364
ENPH,"Enphase Energy, Inc.",41.3,7570030,141.63,37.59,-42.12,74.83,44.69,49.12,Mid Cap,2025-06-06 00:31:04,1364
EQIX,"Equinix, Inc.",909.74,522784,983.59,697.65,-2.63,30.63,875.43,835.94,Large Cap,2025-06-06 00:31:41,1364
ESTC,Elastic N.V.,86.29,2275446,123.96,69.0,-12.93,60.13,89.58,85.73,Mid Cap,2025-06-06 00:32:02,1364
