symbol,name,current_price,avg_volume_30d,price_52w_high,price_52w_low,ytd_return,volatility_annualized,sma_20,sma_50,market_cap_category,data_collected_at,bars_count,open,daily_high,daily_low,close,high,low
AMD,"Advanced Micro Devices, Inc.",,39431213.333333336,187.27999877929688,76.4800033569336,-30.785723583124092,0.39874973040106,113.4104995727539,102.24679977416992,Medium Price,2025-06-07T19:07:20.606945,250,117.69000244140625,,,116.19,118.37999725341797,115.87999725341797
NVDA,NVIDIA Corporation,,219915266.66666666,153.1159160516902,86.62000274658203,17.27100302294968,0.38311967002604197,134.39400062561035,118.40440017700195,Medium Price,2025-06-07T19:07:20.679455,250,142.50999450683594,,,141.72,143.27000427246094,141.50999450683594
INTC,Intel Corporation,,71404720.0,36.925755839253235,17.670000076293945,-34.329042361483154,0.33723442257978875,20.793999862670898,20.638999900817872,Low Price,2025-06-07T19:07:21.026929,250,20.170000076293945,,,20.06,20.440000534057617,20.030000686645508
QCOM,QUALCOMM Incorporated,,8468260.0,225.67054942702322,120.07868408697037,-26.183434967096265,0.25932017549756536,148.67107696533202,144.1189370727539,Medium Price,2025-06-07T19:07:21.079847,250,149.8000030517578,,,149.24,150.58999633789062,149.0500030517578
AVGO,Broadcom Inc.,,21375460.0,265.42999267578125,127.35112048676052,77.69206798387829,0.3884744983625761,236.97399826049804,202.5005990600586,Medium Price,2025-06-07T19:07:21.157104,250,251.13999938964844,,,246.93,255.32000732421875,246.1300048828125
MRVL,"Marvell Technology, Inc.",,19977566.666666668,127.33533309113182,47.03656077049741,0.8620156819168168,0.5498024388462103,63.3545000076294,59.38920303344727,Low Price,2025-06-07T19:07:21.421563,250,66.97000122070312,,,68.35,69.77999877929688,66.30999755859375
LRCX,Lam Research Corporation,,9831660.0,111.9745134294298,56.31999969482422,-9.484783688867504,0.42100000154865413,83.33150062561035,74.85360046386718,Low Price,2025-06-07T19:07:21.750115,250,86.26000213623047,,,86.35,87.58000183105469,85.86000061035156
KLAC,KLA Corporation,,1084486.6666666667,888.0589538254965,550.0059693767323,6.053080727423632,0.41243075298720455,777.3544738769531,710.0637707519531,High Price,2025-06-07T19:07:22.020881,250,801.239990234375,,,808.0,813.969970703125,799.77001953125
AMAT,"Applied Materials, Inc.",,7192296.666666667,253.49495969988817,123.38913539739539,-24.089936645245537,0.4168024693494479,163.51363372802734,152.11489456176758,Medium Price,2025-06-07T19:07:22.230974,250,165.44000244140625,,,166.74,169.52999877929688,165.44000244140625
TSM,Taiwan Semiconductor Manufactur,,12621013.333333334,225.52130621451485,132.14270579095924,26.559082736546813,0.3062102632956785,194.76149826049806,174.8073989868164,Medium Price,2025-06-07T19:07:22.495471,250,203.5800018310547,,,205.18,206.2899932861328,203.22999572753906
